dataset,method,shuffle_positives,neg_suppression,semantic_weight,num_runs,accuracy_mean,delta_vs_grace_accuracy_mean,positive_accuracy,negative_accuracy,zero_accuracy,rpgcl_auto_choice_hpfs,rpgcl_auto_choice_raw_preserved_hpfs,rpgcl_auto_choice_raw_features,rpgcl_auto_oracle_test_accuracy_mean,rpgcl_auto_oracle_gap_mean
CiteSeer,grace,False,False,0.5,10,0.6996242014280345,,0,0,0,0,0,0,,
CiteSeer,raw_features,False,False,0.5,10,0.6102593010146561,-0.08936490041337844,0,10,0,0,0,0,,
CiteSeer,rpgcl_auto,False,True,0.5,10,0.7153325817361894,0.015708380308154822,10,0,0,4,6,0,0.7208192408868845,0.005486659150695228
Cora,grace,False,False,0.5,10,0.7926987060998151,,0,0,0,0,0,0,,
Cora,raw_features,False,False,0.5,10,0.5919131238447319,-0.20078558225508317,0,10,0,0,0,0,,
Cora,rpgcl_auto,False,True,0.5,10,0.7991682070240296,0.0064695009242144216,7,3,0,9,1,0,0.799630314232902,0.00046210720887245315
PubMed,grace,False,False,0.5,10,0.8334115260254865,,0,0,0,0,0,0,,
PubMed,raw_features,False,False,0.5,10,0.8316934001141192,-0.0017181259113675073,4,6,0,0,0,0,,
PubMed,rpgcl_auto,False,True,0.5,10,0.8511760603563051,0.017764534330818493,10,0,0,0,10,0,0.8511760603563051,0.0
