dataset,split_index,split_seed,view,best_c,val_accuracy,test_accuracy,test_error,low_core_test_accuracy,low_core_test_error,mid_core_test_accuracy,mid_core_test_error,high_core_test_accuracy,high_core_test_error
Cora,0,2026,raw,10.0,0.6544117647058824,0.6427911275415896,0.3572088724584104,0.5760111808776855,0.42398884892463684,0.6602739691734314,0.3397260308265686,0.6917712688446045,0.3082287311553955
Cora,0,2026,prop1,30.0,0.8308823529411765,0.8179297597042514,0.1820702402957486,0.7963737845420837,0.20362621545791626,0.8205479383468628,0.1794520616531372,0.8368200659751892,0.1631799191236496
Cora,0,2026,prop2,10.0,0.8566176470588235,0.8350277264325323,0.1649722735674677,0.8075313568115234,0.19246861338615417,0.8410958647727966,0.15890410542488098,0.8563458919525146,0.14365410804748535
Cora,0,2026,residual,10.0,0.3088235294117647,0.28927911275415896,0.710720887245841,0.32078102231025696,0.6792189478874207,0.2767123281955719,0.7232876420021057,0.27057182788848877,0.7294281721115112
Cora,0,2026,prop_residual_concat,10.0,0.8051470588235294,0.805452865064695,0.19454713493530496,0.8005578517913818,0.19944211840629578,0.8136986494064331,0.1863013654947281,0.801952600479126,0.19804741442203522
Cora,1,2027,raw,10.0,0.6433823529411765,0.6571164510166358,0.34288354898336415,0.5862069129943848,0.4137931168079376,0.6566347479820251,0.34336525201797485,0.7302259802818298,0.26977401971817017
Cora,1,2027,prop1,30.0,0.8308823529411765,0.8142329020332717,0.1857670979667283,0.7820689678192139,0.21793103218078613,0.805745542049408,0.19425444304943085,0.8559321761131287,0.14406779408454895
Cora,1,2027,prop2,30.0,0.8529411764705882,0.8308687615526802,0.1691312384473198,0.8068965673446655,0.19310344755649567,0.8194254636764526,0.18057455122470856,0.8672316670417786,0.13276836276054382
Cora,1,2027,residual,0.3,0.3088235294117647,0.3077634011090573,0.6922365988909427,0.3268965482711792,0.6731034517288208,0.24076607823371887,0.7592339515686035,0.3573446273803711,0.6426553726196289
Cora,1,2027,prop_residual_concat,30.0,0.8382352941176471,0.8146950092421442,0.18530499075785578,0.8096551895141602,0.19034482538700104,0.805745542049408,0.19425444304943085,0.8290960192680359,0.17090395092964172
Cora,2,2028,raw,10.0,0.6875,0.6427911275415896,0.3572088724584104,0.5888888835906982,0.41111111640930176,0.6425591111183167,0.35744088888168335,0.6965517401695251,0.30344828963279724
Cora,2,2028,prop1,3.0,0.8419117647058824,0.8156192236598891,0.18438077634011085,0.8027777671813965,0.19722221791744232,0.8164116740226746,0.18358831107616425,0.8275862336158752,0.17241379618644714
Cora,2,2028,prop2,10.0,0.8602941176470589,0.8373382624768947,0.1626617375231053,0.824999988079071,0.17499999701976776,0.8372740149497986,0.1627260148525238,0.8496551513671875,0.1503448337316513
Cora,2,2028,residual,3.0,0.3125,0.3123844731977819,0.6876155268022182,0.35972222685813904,0.6402778029441833,0.2767733037471771,0.7232267260551453,0.3006896674633026,0.6993103623390198
Cora,2,2028,prop_residual_concat,30.0,0.8676470588235294,0.8193160813308688,0.18068391866913125,0.8222222328186035,0.17777778208255768,0.8191933035850525,0.18080668151378632,0.8165517449378967,0.18344826996326447
Cora,3,2029,raw,30.0,0.6176470588235294,0.6441774491682071,0.3558225508317929,0.5555555820465088,0.4444444477558136,0.6437414288520813,0.3562586009502411,0.7336122989654541,0.2663877308368683
Cora,3,2029,prop1,10.0,0.8014705882352942,0.8317929759704251,0.16820702402957488,0.8055555820465088,0.1944444477558136,0.8459421992301941,0.15405777096748352,0.8437935709953308,0.156206414103508
Cora,3,2029,prop2,30.0,0.8272058823529411,0.8521256931608133,0.14787430683918668,0.8333333134651184,0.1666666716337204,0.8679504990577698,0.13204951584339142,0.8549512028694153,0.1450488120317459
Cora,3,2029,residual,3.0,0.33088235294117646,0.30268022181146026,0.6973197781885397,0.35277777910232544,0.6472222208976746,0.24896836280822754,0.7510316371917725,0.30683404207229614,0.6931659579277039
Cora,3,2029,prop_residual_concat,30.0,0.7867647058823529,0.821626617375231,0.17837338262476898,0.8180555701255798,0.18194444477558136,0.8266850113868713,0.17331498861312866,0.8200836777687073,0.17991632223129272
Cora,4,2030,raw,10.0,0.6801470588235294,0.6506469500924215,0.34935304990757854,0.5749655961990356,0.42503437399864197,0.6633663177490234,0.3366336524486542,0.7136986255645752,0.2863013744354248
Cora,4,2030,prop1,10.0,0.8198529411764706,0.8207024029574861,0.1792975970425139,0.8019257187843323,0.19807428121566772,0.8203677535057068,0.1796322464942932,0.8397260308265686,0.1602739691734314
Cora,4,2030,prop2,3.0,0.8455882352941176,0.8553604436229205,0.14463955637707948,0.8376891613006592,0.1623108685016632,0.8472418785095215,0.1527581363916397,0.880821943283081,0.11917807906866074
Cora,4,2030,residual,30.0,0.3235294117647059,0.30591497227356745,0.6940850277264325,0.3480055034160614,0.651994526386261,0.26308345794677734,0.7369165420532227,0.3054794669151306,0.6945205330848694
Cora,4,2030,prop_residual_concat,30.0,0.7977941176470589,0.8267097966728281,0.17329020332717193,0.8046767711639404,0.19532324373722076,0.8288543224334717,0.17114569246768951,0.8465753197669983,0.15342465043067932
CiteSeer,0,2026,raw,30.0,0.6816816816816816,0.6606538895152199,0.33934611048478014,0.6421404480934143,0.3578595221042633,0.660592257976532,0.339407742023468,0.6794582605361938,0.32054176926612854
CiteSeer,0,2026,prop1,10.0,0.7417417417417418,0.7053739195791056,0.29462608042089444,0.7001115083694458,0.2998885214328766,0.73234623670578,0.26765376329421997,0.6839728951454163,0.31602707505226135
CiteSeer,0,2026,prop2,1.0,0.7447447447447447,0.7230364524614806,0.2769635475385194,0.7168338894844055,0.2831661105155945,0.7403188943862915,0.2596811056137085,0.7121896147727966,0.28781038522720337
CiteSeer,0,2026,residual,1.0,0.25225225225225223,0.2529124389327321,0.7470875610672679,0.3110367953777313,0.6889632344245911,0.24829156696796417,0.751708447933197,0.19864559173583984,0.8013544082641602
CiteSeer,0,2026,prop_residual_concat,3.0,0.7177177177177178,0.7140172867343104,0.2859827132656896,0.7157190442085266,0.284280925989151,0.7357630729675293,0.2642368972301483,0.690744936466217,0.30925509333610535
CiteSeer,1,2027,raw,3.0,0.6936936936936937,0.644118752348741,0.35588124765125895,0.6241534948348999,0.3758465051651001,0.6599099040031433,0.3400900959968567,0.648252546787262,0.35174745321273804
CiteSeer,1,2027,prop1,1.0,0.7717717717717718,0.7166478767380684,0.2833521232619316,0.6997742652893066,0.30022573471069336,0.7432432174682617,0.2567567527294159,0.7068771123886108,0.29312288761138916
CiteSeer,1,2027,prop2,1.0,0.7627627627627628,0.7234122510334461,0.2765877489665539,0.7110609412193298,0.28893905878067017,0.7454954981803894,0.2545045018196106,0.7136414647102356,0.286358505487442
CiteSeer,1,2027,residual,0.03,0.2132132132132132,0.21157459601653514,0.7884254039834648,0.17720089852809906,0.8227990865707397,0.21621622145175934,0.7837837934494019,0.24126268923282623,0.758737325668335
CiteSeer,1,2027,prop_residual_concat,3.0,0.7687687687687688,0.7072529124389327,0.29274708756106727,0.715575635433197,0.284424364566803,0.7207207083702087,0.27927929162979126,0.6854565739631653,0.31454339623451233
CiteSeer,2,2028,raw,30.0,0.7057057057057057,0.6629086809470124,0.3370913190529876,0.6414881348609924,0.3585118353366852,0.6715575456619263,0.32844242453575134,0.6756756901741028,0.3243243098258972
CiteSeer,2,2028,prop1,0.3,0.7387387387387387,0.705749718151071,0.294250281848929,0.6865839958190918,0.3134160041809082,0.7415350079536438,0.2584650218486786,0.6891891956329346,0.31081080436706543
CiteSeer,2,2028,prop2,0.3,0.7597597597597597,0.7155204810221721,0.28447951897782786,0.7080045342445374,0.29199549555778503,0.7415350079536438,0.2584650218486786,0.6970720887184143,0.3029279410839081
CiteSeer,2,2028,residual,0.03,0.21921921921921922,0.21608417888012024,0.7839158211198798,0.19165727496147156,0.8083427548408508,0.22347629070281982,0.7765237092971802,0.23310810327529907,0.7668918967247009
CiteSeer,2,2028,prop_residual_concat,3.0,0.7507507507507507,0.7132656895903795,0.2867343104096205,0.7068771123886108,0.29312288761138916,0.7336342930793762,0.2663656771183014,0.6993243098258972,0.3006756901741028
CiteSeer,3,2029,raw,3.0,0.6726726726726727,0.6580232995114619,0.3419767004885381,0.6440678238868713,0.35593220591545105,0.6785317063331604,0.3214682936668396,0.65108323097229,0.34891676902770996
CiteSeer,3,2029,prop1,10.0,0.7447447447447447,0.7189026681698609,0.2810973318301391,0.698305070400238,0.30169492959976196,0.7363737225532532,0.26362624764442444,0.7217788100242615,0.2782212197780609
CiteSeer,3,2029,prop2,10.0,0.7297297297297297,0.7173994738819992,0.2826005261180008,0.710734486579895,0.28926554322242737,0.7196885347366333,0.2803114652633667,0.7217788100242615,0.2782212197780609
CiteSeer,3,2029,residual,1.0,0.2732732732732733,0.24276587748966555,0.7572341225103345,0.2870056629180908,0.7129943370819092,0.2447163462638855,0.7552836537361145,0.1961231529712677,0.8038768768310547
CiteSeer,3,2029,prop_residual_concat,30.0,0.7147147147147147,0.7117624953025179,0.2882375046974821,0.714124321937561,0.28587570786476135,0.7196885347366333,0.2803114652633667,0.7012542486190796,0.298745721578598
CiteSeer,4,2030,raw,1.0,0.6246246246246246,0.6636602780909433,0.3363397219090567,0.6445444226264954,0.35545557737350464,0.6776390671730042,0.32236096262931824,0.668911337852478,0.331088662147522
CiteSeer,4,2030,prop1,3.0,0.6816816816816816,0.7290492296129275,0.2709507703870725,0.7052868604660034,0.29471316933631897,0.7502837777137756,0.24971623718738556,0.7317620515823364,0.2682379484176636
CiteSeer,4,2030,prop2,1.0,0.6816816816816816,0.7452085682074409,0.25479143179255914,0.7255343198776245,0.2744656801223755,0.7661747932434082,0.2338251918554306,0.744107723236084,0.25589224696159363
CiteSeer,4,2030,residual,10.0,0.21921921921921922,0.23412251033446074,0.7658774896655393,0.30708661675453186,0.6929134130477905,0.19750283658504486,0.802497148513794,0.1975308656692505,0.8024691343307495
