dataset,num_splits,core_degree_corr_mean,core_topk_label_agreement_corr_mean,core_edge_label_agreement_corr_mean,raw_accuracy_mean,prop1_accuracy_mean,prop2_accuracy_mean,residual_accuracy_mean,prop_residual_concat_accuracy_mean,high_minus_low_topk_agreement_mean,high_minus_low_raw_error_mean,high_minus_low_prop2_error_mean
CiteSeer,5,-0.0187673456966877,-0.0034415400587022305,0.16813704371452332,0.6578729800826757,0.7151446824502067,0.7249154453213078,0.2314919203307028,0.713716647876738,0.0033814311027526855,-0.025397336483001708,-0.0033243179321289064
Cora,5,-0.021565504372119904,0.11504263430833817,0.22945302724838257,0.6475046210720887,0.8200554528650648,0.8421441774491681,0.3036044362292052,0.8175600739371534,0.06990587711334229,-0.13684635162353515,-0.039711080491542816
PubMed,5,-0.006069519557058811,0.03446568548679352,0.05083862319588661,0.8442781969187854,0.8502377480504659,0.8550307487478603,0.5068661636974576,0.8612438978000381,0.024817466735839844,-0.006702318787574768,-0.011509472131729126
