dataset,num_pairs,raw_features_accuracy_mean,grace_light_accuracy_mean,hpfs_gcl_accuracy_mean,rpgcl_hpfs_accuracy_mean,rpgcl_auto_accuracy_mean,best_fixed_accuracy_mean,auto_minus_grace_light_mean,auto_minus_raw_features_mean,auto_minus_hpfs_gcl_mean,auto_minus_rpgcl_hpfs_mean,auto_minus_best_fixed_mean,auto_positive_vs_best_fixed,auto_negative_vs_best_fixed,auto_zero_vs_best_fixed,choice_hpfs,choice_raw_preserved_hpfs,choice_raw_features
CiteSeer,10,0.6102593010146561,0.6993235625704624,0.7116497557309281,0.7188275084554678,0.715295001878993,0.7206689214580984,0.0159714393085306,0.10503570086433674,0.0036452461480646183,-0.003532506576475025,-0.005373919579105613,0,4,6,4,6,0
Cora,10,0.5919131238447319,0.7925600739371534,0.7994454713493531,0.7793438077634012,0.8001386321626619,0.8001848428835491,0.007578558225508314,0.2082255083179298,0.0006931608133087019,0.020794824399260625,-4.621072088722977e-05,3,4,3,9,1,0
PubMed,10,0.8316934001141192,0.8330945286248653,0.8340645406707665,0.8511760603563051,0.8511126608761806,0.8511760603563051,0.018018132251315554,0.01941926076206174,0.017048120205414307,-6.339948012425988e-05,-6.339948012425988e-05,4,6,0,0,10,0
