dataset,num_runs,hpfs_accuracy_mean,raw_preserved_hpfs_accuracy_mean,raw_branch_gain_mean,raw_branch_gain_std,raw_branch_positive,raw_branch_negative,feature_density,feature_nnz_mean,avg_degree,edge_feature_cos_mean,random_feature_cos_mean,edge_feature_cos_lift,raw_hpfs_pair_sim_corr,raw_hpfs_pair_sim_abs_gap,raw_propagation_cos_mean,raw_propagation_cos_std
CiteSeer,10,0.7116497557309281,0.7188275084554678,0.0071777527245396435,0.009927699342370033,8,2,0.00853620283305645,31.60955810546875,2.7363991737365723,0.1906338632106781,0.0444098636507988,0.1462239921092987,0.2768178880214691,0.27368563413619995,0.7311958074569702,0.08187825977802277
Cora,10,0.7994454713493531,0.7793438077634012,-0.020101663585951925,0.013184640556573868,1,9,0.012682692147791386,18.174299240112305,3.8980798721313477,0.1676545888185501,0.0564383864402771,0.11121620237827301,0.2703610360622406,0.2644862115383148,0.7680206298828125,0.08396995812654495
PubMed,10,0.8340645406707665,0.8511760603563051,0.01711151968553857,0.0031889937818050385,10,0,0.10022123157978058,50.11061477661133,4.496018886566162,0.2718965709209442,0.07197771966457367,0.19991885125637054,0.4315852791070938,0.2949414163827896,0.735360324382782,0.07081247121095657
