dataset,split_index,model_seed,num_nodes,num_edges,num_features,feature_density,feature_nnz_mean,feature_nnz_std,avg_degree,hpfs_accuracy,raw_preserved_hpfs_accuracy,grace_light_accuracy,raw_branch_gain,best_fixed_method,best_fixed_accuracy,gate_target_raw_preserve,edge_feature_cos_mean,edge_feature_cos_std,random_feature_cos_mean,edge_feature_cos_lift,raw_hpfs_pair_sim_corr,raw_hpfs_pair_sim_abs_gap,raw_propagation_cos_mean,raw_propagation_cos_std
CiteSeer,0,0,3327,9104,3703,0.00853620283305645,31.60955810546875,6.327734470367432,2.7363991737365723,0.705749718151071,0.7132656895903795,0.6903419767004886,0.007515971439308489,rpgcl_hpfs,0.7132656895903795,1,0.1906338632106781,0.14035001397132874,0.0444098636507988,0.1462239921092987,0.2831583321094513,0.27312594652175903,0.7311958074569702,0.08187825977802277
CiteSeer,1,0,3327,9104,3703,0.00853620283305645,31.60955810546875,6.327734470367432,2.7363991737365723,0.7158962795941376,0.7166478767380684,0.7046223224351748,0.0007515971439308045,rpgcl_hpfs,0.7166478767380684,1,0.1906338632106781,0.14035001397132874,0.0444098636507988,0.1462239921092987,0.28070101141929626,0.27358099818229675,0.7311958074569702,0.08187825977802277
CiteSeer,2,0,3327,9104,3703,0.00853620283305645,31.60955810546875,6.327734470367432,2.7363991737365723,0.6993611424276588,0.7166478767380684,0.6888387824126269,0.017286734310409613,rpgcl_hpfs,0.7166478767380684,1,0.1906338632106781,0.14035001397132874,0.0444098636507988,0.1462239921092987,0.272288054227829,0.2745506167411804,0.7311958074569702,0.08187825977802277
CiteSeer,3,0,3327,9104,3703,0.00853620283305645,31.60955810546875,6.327734470367432,2.7363991737365723,0.7128898910184142,0.7189026681698609,0.7140172867343104,0.006012777151446769,rpgcl_hpfs,0.7189026681698609,1,0.1906338632106781,0.14035001397132874,0.0444098636507988,0.1462239921092987,0.274783730506897,0.2747155725955963,0.7311958074569702,0.08187825977802277
CiteSeer,4,0,3327,9104,3703,0.00853620283305645,31.60955810546875,6.327734470367432,2.7363991737365723,0.7155204810221721,0.7264186396091695,0.6997369409996242,0.010898158586997386,rpgcl_hpfs,0.7264186396091695,1,0.1906338632106781,0.14035001397132874,0.0444098636507988,0.1462239921092987,0.2757470905780792,0.273232102394104,0.7311958074569702,0.08187825977802277
CiteSeer,5,0,3327,9104,3703,0.00853620283305645,31.60955810546875,6.327734470367432,2.7363991737365723,0.7185268695978956,0.7087561067267945,0.7065013152950019,-0.009770762871101124,hpfs_gcl,0.7185268695978956,0,0.1906338632106781,0.14035001397132874,0.0444098636507988,0.1462239921092987,0.27609118819236755,0.2736051678657532,0.7311958074569702,0.08187825977802277
CiteSeer,6,0,3327,9104,3703,0.00853620283305645,31.60955810546875,6.327734470367432,2.7363991737365723,0.7125140924464487,0.7275460353250658,0.6925967681322811,0.015031942878617088,rpgcl_hpfs,0.7275460353250658,1,0.1906338632106781,0.14035001397132874,0.0444098636507988,0.1462239921092987,0.27337563037872314,0.27435654401779175,0.7311958074569702,0.08187825977802277
CiteSeer,7,0,3327,9104,3703,0.00853620283305645,31.60955810546875,6.327734470367432,2.7363991737365723,0.7267944381811349,0.7181510710259301,0.7128898910184142,-0.00864336715520475,hpfs_gcl,0.7267944381811349,0,0.1906338632106781,0.14035001397132874,0.0444098636507988,0.1462239921092987,0.2813154458999634,0.27288568019866943,0.7311958074569702,0.08187825977802277
CiteSeer,8,0,3327,9104,3703,0.00853620283305645,31.60955810546875,6.327734470367432,2.7363991737365723,0.6952273581360391,0.7170236753100339,0.6850807966929726,0.021796317173994773,rpgcl_hpfs,0.7170236753100339,1,0.1906338632106781,0.14035001397132874,0.0444098636507988,0.1462239921092987,0.2814442813396454,0.27331432700157166,0.7311958074569702,0.08187825977802277
CiteSeer,9,0,3327,9104,3703,0.00853620283305645,31.60955810546875,6.327734470367432,2.7363991737365723,0.7140172867343104,0.7249154453213078,0.6986095452837279,0.010898158586997386,rpgcl_hpfs,0.7249154453213078,1,0.1906338632106781,0.14035001397132874,0.0444098636507988,0.1462239921092987,0.26927411556243896,0.273489385843277,0.7311958074569702,0.08187825977802277
