run_dir,dataset,method,seed,split_index,accuracy,F1Mi,F1Ma,val_accuracy,best_c,train_ratio,val_ratio,test_ratio,shuffle_positives,neg_suppression,semantic_weight,num_negatives,raw_preserved,raw_weight,gcl_weight,rpgcl_auto_choice,semantic_top1_key_sim,rpgcl_auto_hpfs_val_accuracy,rpgcl_auto_hpfs_test_accuracy,rpgcl_auto_raw_preserved_hpfs_val_accuracy,rpgcl_auto_raw_preserved_hpfs_test_accuracy,rpgcl_auto_raw_features_val_accuracy,rpgcl_auto_raw_features_test_accuracy,rpgcl_auto_oracle_choice,rpgcl_auto_oracle_test_accuracy,delta_vs_grace_accuracy,delta_vs_grace_F1Mi,delta_vs_grace_F1Ma
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_hpfs_gcl_seed0_split4_e50,CiteSeer,hpfs_gcl,0,4,0.7155204810221721,0.7155204810221721,0.6510042936620809,0.7027027027027027,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,False,1.0,1.0,,0.5930006504058838,,,,,,,,,0.015783540022547893,0.015783540022547893,0.016029678908647593
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_hpfs_gcl_seed0_split5_e50,CiteSeer,hpfs_gcl,0,5,0.7185268695978956,0.7185268695978956,0.634670750562469,0.7297297297297297,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,False,1.0,1.0,,0.5930006504058838,,,,,,,,,0.012025554302893648,0.012025554302893648,0.00928315994959672
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_hpfs_gcl_seed0_split6_e50,CiteSeer,hpfs_gcl,0,6,0.7125140924464487,0.7125140924464487,0.6536289616830894,0.7417417417417418,0.1,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,False,1.0,1.0,,0.5930006504058838,,,,,,,,,0.019917324314167595,0.019917324314167595,0.01799411472668422
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_hpfs_gcl_seed0_split7_e50,CiteSeer,hpfs_gcl,0,7,0.7267944381811349,0.7267944381811349,0.6567301375084406,0.7117117117117117,0.1,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,False,1.0,1.0,,0.5930006504058838,,,,,,,,,0.013904547162720715,0.013904547162720715,0.01170042269030469
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_hpfs_gcl_seed0_split8_e50,CiteSeer,hpfs_gcl,0,8,0.6952273581360391,0.6952273581360391,0.6519168748968399,0.6816816816816816,0.3,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,False,1.0,1.0,,0.5930006504058838,,,,,,,,,0.01014656144306647,0.01014656144306647,0.012982309861453323
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_hpfs_gcl_seed0_split9_e50,CiteSeer,hpfs_gcl,0,9,0.7140172867343104,0.7140172867343104,0.6586046382527343,0.6906906906906907,0.1,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,False,1.0,1.0,,0.5930006504058838,,,,,,,,,0.015407741450582546,0.015407741450582546,0.015245052377692359
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_raw_features_seed0_split0_e50,CiteSeer,raw_features,0,0,0.6050357008643367,0.6050357008643367,0.5500543152972285,0.6336336336336337,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.08530627583615191,-0.08530627583615191,-0.0754993280700621
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_raw_features_seed0_split1_e50,CiteSeer,raw_features,0,1,0.5960165351371665,0.5960165351371665,0.565011575215291,0.5945945945945946,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.1086057872980083,-0.1086057872980083,-0.07146977217172512
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_raw_features_seed0_split2_e50,CiteSeer,raw_features,0,2,0.6163096580232995,0.6163096580232995,0.5730347648211616,0.6516516516516516,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.07252912438932735,-0.07252912438932735,-0.02826033242910353
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_raw_features_seed0_split3_e50,CiteSeer,raw_features,0,3,0.6076662908680946,0.6076662908680946,0.5483052463023681,0.6396396396396397,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.10635099586621577,-0.10635099586621577,-0.08210113223361437
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_raw_features_seed0_split4_e50,CiteSeer,raw_features,0,4,0.6118000751597144,0.6118000751597144,0.5585250423330282,0.5735735735735735,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.0879368658399099,-0.0879368658399099,-0.07644957242040507
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_raw_features_seed0_split5_e50,CiteSeer,raw_features,0,5,0.608793686583991,0.608793686583991,0.5473102245944906,0.5645645645645646,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.09770762871101091,-0.09770762871101091,-0.07807736601838167
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_raw_features_seed0_split6_e50,CiteSeer,raw_features,0,6,0.6027809094325441,0.6027809094325441,0.5480527953801139,0.6246246246246246,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.08981585869973696,-0.08981585869973696,-0.08758205157629129
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_raw_features_seed0_split7_e50,CiteSeer,raw_features,0,7,0.6080420894400601,0.6080420894400601,0.5510410127086921,0.5735735735735735,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.10484780157835405,-0.10484780157835405,-0.09398870210944377
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_raw_features_seed0_split8_e50,CiteSeer,raw_features,0,8,0.6283352123261932,0.6283352123261932,0.5671810189899792,0.6366366366366366,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.056745584366779456,-0.056745584366779456,-0.0717535460454074
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_raw_features_seed0_split9_e50,CiteSeer,raw_features,0,9,0.6178128523111612,0.6178128523111612,0.5529333981995497,0.5945945945945946,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,-0.08079669297256664,-0.08079669297256664,-0.09042618767549226
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_auto_seed0_split0_e50,CiteSeer,rpgcl_auto,0,0,0.7132656895903795,0.7132656895903795,0.6417622511751426,0.7387387387387387,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,raw_preserved_hpfs,0.5930006504058838,0.7267267267267268,0.705749718151071,0.7387387387387387,0.7132656895903795,0.6336336336336337,0.6050357008643367,raw_preserved_hpfs,0.7132656895903795,0.022923712889890924,0.022923712889890924,0.01620860780785205
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_auto_seed0_split1_e50,CiteSeer,rpgcl_auto,0,1,0.7166478767380684,0.7166478767380684,0.6418150175782288,0.7537537537537538,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,raw_preserved_hpfs,0.5930006504058838,0.7477477477477478,0.7162720781661029,0.7537537537537538,0.7166478767380684,0.5945945945945946,0.5960165351371665,raw_preserved_hpfs,0.7166478767380684,0.012025554302893648,0.012025554302893648,0.005333670191212669
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_auto_seed0_split2_e50,CiteSeer,rpgcl_auto,0,2,0.6989853438556933,0.6989853438556933,0.6312356287431573,0.7477477477477478,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,False,1.0,1.0,hpfs,0.5930006504058838,0.7477477477477478,0.6989853438556933,0.7417417417417418,0.7162720781661029,0.6516516516516516,0.6163096580232995,raw_preserved_hpfs,0.7162720781661029,0.01014656144306647,0.01014656144306647,0.02994053149289222
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_auto_seed0_split3_e50,CiteSeer,rpgcl_auto,0,3,0.7189026681698609,0.7189026681698609,0.6444699349230477,0.7177177177177178,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,raw_preserved_hpfs,0.5930006504058838,0.6846846846846847,0.7128898910184142,0.7177177177177178,0.7189026681698609,0.6396396396396397,0.6076662908680946,raw_preserved_hpfs,0.7189026681698609,0.0048853814355505065,0.0048853814355505065,0.014063556387065246
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_auto_seed0_split4_e50,CiteSeer,rpgcl_auto,0,4,0.7155204810221721,0.7155204810221721,0.6510042936620809,0.7027027027027027,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,False,1.0,1.0,hpfs,0.5930006504058838,0.7027027027027027,0.7155204810221721,0.6906906906906907,0.7177752724539647,0.5735735735735735,0.6118000751597144,raw_preserved_hpfs,0.7177752724539647,0.015783540022547893,0.015783540022547893,0.016029678908647593
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_auto_seed0_split5_e50,CiteSeer,rpgcl_auto,0,5,0.7087561067267945,0.7087561067267945,0.6340884242929986,0.7417417417417418,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,raw_preserved_hpfs,0.5930006504058838,0.7297297297297297,0.7185268695978956,0.7417417417417418,0.7087561067267945,0.5645645645645646,0.608793686583991,hpfs,0.7185268695978956,0.0022547914317925244,0.0022547914317925244,0.008700833680126308
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_auto_seed0_split6_e50,CiteSeer,rpgcl_auto,0,6,0.7121382938744832,0.7121382938744832,0.6526101378071992,0.7447447447447447,0.1,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,False,1.0,1.0,hpfs,0.5930006504058838,0.7447447447447447,0.7121382938744832,0.7177177177177178,0.7275460353250658,0.6246246246246246,0.6027809094325441,raw_preserved_hpfs,0.7275460353250658,0.019541525742202137,0.019541525742202137,0.016975290850794078
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_auto_seed0_split7_e50,CiteSeer,rpgcl_auto,0,7,0.7267944381811349,0.7267944381811349,0.6577203666573596,0.7117117117117117,0.1,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,False,1.0,1.0,hpfs,0.5930006504058838,0.7117117117117117,0.7267944381811349,0.6786786786786787,0.7181510710259301,0.5735735735735735,0.6080420894400601,hpfs,0.7267944381811349,0.013904547162720715,0.013904547162720715,0.012690651839223688
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_auto_seed0_split8_e50,CiteSeer,rpgcl_auto,0,8,0.7170236753100339,0.7170236753100339,0.6565564903703357,0.6936936936936937,0.3,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,raw_preserved_hpfs,0.5930006504058838,0.6816816816816816,0.6952273581360391,0.6936936936936937,0.7170236753100339,0.6366366366366366,0.6283352123261932,raw_preserved_hpfs,0.7170236753100339,0.03194287861706124,0.03194287861706124,0.017621925334949107
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_auto_seed0_split9_e50,CiteSeer,rpgcl_auto,0,9,0.7249154453213078,0.7249154453213078,0.6581775078029705,0.7177177177177178,1.0,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,raw_preserved_hpfs,0.5930006504058838,0.6906906906906907,0.7140172867343104,0.7177177177177178,0.7249154453213078,0.5945945945945946,0.6178128523111612,raw_preserved_hpfs,0.7249154453213078,0.026305900037579932,0.026305900037579932,0.014817921927928523
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_hpfs_seed0_split0_e50,CiteSeer,rpgcl_hpfs,0,0,0.7132656895903795,0.7132656895903795,0.6417622511751426,0.7387387387387387,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,,0.5930006504058838,,,,,,,,,0.022923712889890924,0.022923712889890924,0.01620860780785205
