run_dir,dataset,method,seed,split_index,accuracy,F1Mi,F1Ma,val_accuracy,best_c,train_ratio,val_ratio,test_ratio,shuffle_positives,neg_suppression,semantic_weight,num_negatives,raw_preserved,raw_weight,gcl_weight,rpgcl_auto_choice,semantic_top1_key_sim,delta_vs_grace_accuracy,delta_vs_grace_F1Mi,delta_vs_grace_F1Ma
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_grace_seed0_split0_e50,CiteSeer,grace,0,0,0.6948515595640736,0.6948515595640736,0.6224080913646884,0.7117117117117117,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_grace_seed0_split1_e50,CiteSeer,grace,0,1,0.703870725291244,0.703870725291244,0.6357059328981101,0.7537537537537538,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_grace_seed0_split2_e50,CiteSeer,grace,0,2,0.6888387824126269,0.6888387824126269,0.6012950972502651,0.7297297297297297,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,,,
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_raw_features_seed0_split0_e50,CiteSeer,raw_features,0,0,0.6050357008643367,0.6050357008643367,0.5500543152972285,0.6336336336336337,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,-0.08981585869973696,-0.08981585869973696,-0.07235377606745996
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_raw_features_seed0_split1_e50,CiteSeer,raw_features,0,1,0.5960165351371665,0.5960165351371665,0.565011575215291,0.5945945945945946,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,-0.10785419015407749,-0.10785419015407749,-0.07069435768281906
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_raw_features_seed0_split2_e50,CiteSeer,raw_features,0,2,0.6163096580232995,0.6163096580232995,0.5730347648211616,0.6516516516516516,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,False,1.0,1.0,,,-0.07252912438932735,-0.07252912438932735,-0.02826033242910353
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_rpgcl_auto_seed0_split0_e50,CiteSeer,rpgcl_auto,0,0,0.7132656895903795,0.7132656895903795,0.6417622511751426,0.7387387387387387,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,raw_preserved_hpfs,0.5930006504058838,0.018414130026305875,0.018414130026305875,0.019354159810454186
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_rpgcl_auto_seed0_split1_e50,CiteSeer,rpgcl_auto,0,1,0.7166478767380684,0.7166478767380684,0.6418150175782288,0.7537537537537538,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,raw_preserved_hpfs,0.5930006504058838,0.012777151446824453,0.012777151446824453,0.006109084680118726
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_rpgcl_auto_seed0_split2_e50,CiteSeer,rpgcl_auto,0,2,0.6993611424276588,0.6993611424276588,0.631514975484329,0.7477477477477478,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,False,1.0,1.0,hpfs,0.5930006504058838,0.010522360015031929,0.010522360015031929,0.030219878234063913
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_grace_seed0_split0_e50,Cora,grace,0,0,0.7962107208872459,0.7962107208872459,0.7750597021556869,0.8198529411764706,0.3,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,False,0.5,128,False,1.0,1.0,,,,,
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_grace_seed0_split1_e50,Cora,grace,0,1,0.8036044362292052,0.8036044362292052,0.779065823665469,0.8198529411764706,0.3,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,False,0.5,128,False,1.0,1.0,,,,,
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_grace_seed0_split2_e50,Cora,grace,0,2,0.8008317929759704,0.8008317929759704,0.7796213480504758,0.8088235294117647,0.3,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,False,0.5,128,False,1.0,1.0,,,,,
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_raw_features_seed0_split0_e50,Cora,raw_features,0,0,0.583641404805915,0.583641404805915,0.5498366385642323,0.6066176470588235,0.3,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,False,0.5,128,False,1.0,1.0,,,-0.2125693160813309,-0.2125693160813309,-0.2252230635914546
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_raw_features_seed0_split1_e50,Cora,raw_features,0,1,0.6118299445471349,0.6118299445471349,0.5767326491789584,0.5625,30.0,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,False,0.5,128,False,1.0,1.0,,,-0.19177449168207028,-0.19177449168207028,-0.20233317448651056
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_raw_features_seed0_split2_e50,Cora,raw_features,0,2,0.5854898336414048,0.5854898336414048,0.5462102258313744,0.5882352941176471,10.0,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,False,0.5,128,False,1.0,1.0,,,-0.21534195933456557,-0.21534195933456557,-0.23341112221910143
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_rpgcl_auto_seed0_split0_e50,Cora,rpgcl_auto,0,0,0.7971349353049908,0.7971349353049908,0.7730628546534373,0.8272058823529411,0.1,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,True,0.5,128,False,1.0,1.0,hpfs,0.5635236501693726,0.0009242144177449285,0.0009242144177449285,-0.001996847502249599
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_rpgcl_auto_seed0_split1_e50,Cora,rpgcl_auto,0,1,0.8026802218114603,0.8026802218114603,0.7798918628954689,0.8272058823529411,0.3,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,True,0.5,128,False,1.0,1.0,hpfs,0.5635236501693726,-0.0009242144177449285,-0.0009242144177449285,0.0008260392299999086
runs/rpgcl_auto_homophily_splits0-2_e50/Cora_rpgcl_auto_seed0_split2_e50,Cora,rpgcl_auto,0,2,0.8077634011090573,0.8077634011090573,0.7862203334227014,0.8125,0.1,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,True,0.5,128,False,1.0,1.0,hpfs,0.5635236501693726,0.006931608133086908,0.006931608133086908,0.006598985372225585
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_grace_seed0_split0_e50,PubMed,grace,0,0,0.8357319469980347,0.8357319469980347,0.8318181920411293,0.8326572008113591,0.1,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,False,0.5,128,False,1.0,1.0,,,,,
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_grace_seed0_split1_e50,PubMed,grace,0,1,0.8371267355607684,0.8371267355607684,0.8326452402195449,0.8286004056795132,0.1,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,False,0.5,128,False,1.0,1.0,,,,,
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_grace_seed0_split2_e50,PubMed,grace,0,2,0.8343371584353009,0.8343371584353009,0.8302111460630592,0.8433062880324543,0.1,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,False,0.5,128,False,1.0,1.0,,,,,
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_raw_features_seed0_split0_e50,PubMed,raw_features,0,0,0.8293285995054841,0.8293285995054841,0.828937172087587,0.8250507099391481,0.01,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,False,0.5,128,False,1.0,1.0,,,-0.00640334749255056,-0.00640334749255056,-0.0028810199535422854
