run_dir,dataset,method,seed,split_index,accuracy,F1Mi,F1Ma,val_accuracy,best_c,train_ratio,val_ratio,test_ratio,shuffle_positives,neg_suppression,semantic_top1_key_sim,delta_vs_grace_accuracy,delta_vs_grace_F1Mi,delta_vs_grace_F1Ma
runs/smoke/Cora_grace_smoke,Cora,grace,0,0,0.7199630314232902,0.7199630314232902,0.691353188718992,0.75,0.03,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,True,,,,
runs/smoke/Cora_hpfs_smoke,Cora,hpfs_gcl,0,0,0.7241219963031423,0.7241219963031423,0.7021296915257397,0.7610294117647058,0.1,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,True,0.5635236501693726,0.004158964879852123,0.004158964879852123,0.01077650280674769
runs/smoke/Cora_raw_smoke,Cora,raw_features,0,0,0.583641404805915,0.583641404805915,0.5498366385642323,0.6066176470588235,0.3,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,True,,-0.13632162661737524,-0.13632162661737524,-0.14151655015475972
