run_dir,dataset,method,seed,split_index,accuracy,F1Mi,F1Ma,val_accuracy,best_c,train_ratio,val_ratio,test_ratio,shuffle_positives,neg_suppression,semantic_weight,num_negatives,raw_preserved,raw_weight,gcl_weight,rpgcl_auto_choice,semantic_top1_key_sim,delta_vs_grace_accuracy,delta_vs_grace_F1Mi,delta_vs_grace_F1Ma
runs/hpfs_homophily_split0_e50_pure_grace/CiteSeer_grace_seed0_split0_e50,CiteSeer,grace,0,0,0.6952273581360391,0.6952273581360391,0.6227034911287084,0.7117117117117117,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,,,,,,,,,,
runs/hpfs_homophily_split0_e50_pure_grace/CiteSeer_hpfs_gcl_seed0_split0_e50,CiteSeer,hpfs_gcl,0,0,0.705749718151071,0.705749718151071,0.6466902389230683,0.7267267267267268,0.1,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,,,,,,,0.5930006504058838,0.010522360015031929,0.010522360015031929,0.02398674779435994
runs/hpfs_homophily_split0_e50_pure_grace/CiteSeer_hpfs_gcl_seed0_split0_e50_fn_only,CiteSeer,hpfs_gcl,0,0,0.6971063509958663,0.6971063509958663,0.6244408627979735,0.7177177177177178,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.0,128,,,,,0.5930006504058838,0.0018789928598271777,0.0018789928598271777,0.0017373716692651309
runs/hpfs_homophily_split0_e50_pure_grace/CiteSeer_hpfs_gcl_seed0_split0_e50_sem01,CiteSeer,hpfs_gcl,0,0,0.6997369409996242,0.6997369409996242,0.6359741910233184,0.7327327327327328,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.1,128,,,,,0.5930006504058838,0.00450958286358516,0.00450958286358516,0.01327069989461005
runs/hpfs_homophily_split0_e50_pure_grace/CiteSeer_raw_features_seed0_split0_e50,CiteSeer,raw_features,0,0,0.6050357008643367,0.6050357008643367,0.5500543152972285,0.6336336336336337,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,,,,,,,,-0.09019165727170242,-0.09019165727170242,-0.0726491758314799
runs/hpfs_homophily_split0_e50_pure_grace/CiteSeer_rpgcl_auto_seed0_split0_e50_auto,CiteSeer,rpgcl_auto,0,0,0.7132656895903795,0.7132656895903795,0.6417622511751426,0.7387387387387387,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,raw_preserved_hpfs,0.5930006504058838,0.018038331454340417,0.018038331454340417,0.019058760046434253
runs/hpfs_homophily_split0_e50_pure_grace/CiteSeer_rpgcl_grace_seed0_split0_e50_raw_preserved,CiteSeer,rpgcl_grace,0,0,0.7053739195791056,0.7053739195791056,0.6354597522209285,0.7327327327327328,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,False,0.5,128,True,1.0,1.0,,,0.01014656144306647,0.01014656144306647,0.012756261092220167
runs/hpfs_homophily_split0_e50_pure_grace/CiteSeer_rpgcl_hpfs_seed0_split0_e50_raw_preserved,CiteSeer,rpgcl_hpfs,0,0,0.7132656895903795,0.7132656895903795,0.6417622511751426,0.7387387387387387,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,,0.5930006504058838,0.018038331454340417,0.018038331454340417,0.019058760046434253
runs/hpfs_homophily_split0_e50_pure_grace/Cora_grace_seed0_split0_e50,Cora,grace,0,0,0.7957486136783734,0.7957486136783734,0.7745856958961893,0.8198529411764706,0.3,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,False,,,,,,,,,,
runs/hpfs_homophily_split0_e50_pure_grace/Cora_hpfs_gcl_seed0_split0_e50,Cora,hpfs_gcl,0,0,0.7971349353049908,0.7971349353049908,0.7730628546534373,0.8272058823529411,0.1,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,True,,,,,,,0.5635236501693726,0.0013863216266174483,0.0013863216266174483,-0.0015228412427520377
