dataset,method,shuffle_positives,neg_suppression,num_runs,accuracy_mean,F1Mi_mean,F1Ma_mean,delta_vs_grace_F1Mi_mean,delta_vs_grace_F1Ma_mean,positive_F1Mi,negative_F1Mi
CiteSeer,grace,False,True,1,0.6971063509958663,0.6971063509958663,0.6244408627979735,,,0,0
CiteSeer,hpfs_gcl,False,True,1,0.705749718151071,0.705749718151071,0.6466902389230683,0.00864336715520475,0.02224937612509481,1,0
CiteSeer,raw_features,False,True,1,0.6050357008643367,0.6050357008643367,0.5500543152972285,-0.0920706501315296,-0.07438654750074503,0,1
Cora,grace,False,True,1,0.7971349353049908,0.7971349353049908,0.7766645061591291,,,0,0
Cora,hpfs_gcl,False,True,1,0.7971349353049908,0.7971349353049908,0.7730628546534373,0.0,-0.0036016515056918053,0,0
Cora,raw_features,False,True,1,0.583641404805915,0.583641404805915,0.5498366385642323,-0.21349353049907582,-0.22682786759489681,0,1
PubMed,grace,False,True,1,0.8349711532365435,0.8349711532365435,0.8310771178082016,,,0,0
PubMed,hpfs_gcl,False,True,1,0.8343371584353009,0.8343371584353009,0.8304275815218238,-0.0006339948012425989,-0.000649536286377761,0,1
PubMed,raw_features,False,True,1,0.8293285995054841,0.8293285995054841,0.828937172087587,-0.005642553731059374,-0.0021399457206146,0,1
