dataset,num_splits,grace_light_accuracy_mean,hpfs_gcl_accuracy_mean,raw_preserved_hpfs_accuracy_mean,cg_hpfs_accuracy_mean,best_fixed_accuracy_mean,cg_minus_grace_light_mean,cg_minus_hpfs_gcl_mean,cg_minus_raw_preserved_hpfs_mean,cg_minus_best_fixed_mean,cg_positive_vs_best_fixed,cg_negative_vs_best_fixed,cg_zero_vs_best_fixed,gate_alpha_mean,gate_signal_value_mean,gate_raw_preserved_count
CiteSeer,10,0.6993235625704624,0.7116497557309281,0.7188275084554678,0.7178128523111612,0.7206689214580984,0.018489289740698966,0.006163096580232985,-0.0010146561443066583,-0.0028560691469372455,0,3,7,1.0,0.14568719267845154,10
Cora,10,0.7925600739371534,0.7994454713493531,0.7793438077634012,0.8017097966728282,0.8001848428835491,0.009149722735674659,0.0022643253234750473,0.02236598890942697,0.0015249537892791155,4,6,0,0.0,0.1118554025888443,0
PubMed,10,0.8330945286248653,0.8340645406707665,0.8511760603563051,0.8511380206682304,0.8511760603563051,0.01804349204336526,0.017073479997464013,-3.8039688074553714e-05,-3.8039688074553714e-05,4,5,1,1.0,0.20003007352352142,10
